County ID,County Name,Precinct Code,Precinct Name,School District Code,School District Name,Number of Registered Voters,,,,,,,,,
3,Becker,115,HEIGHT OF LAND TWP,23,FRAZEE-VERGAS,477,,,,,,,,,
3,Becker,120,HOLMESVILLE TWP,22,DETROIT LAKES,363,,,,,,,,,
3,Becker,125,LAKE EUNICE TWP,22,DETROIT LAKES,213,,,,,,,,,
3,Becker,125,LAKE EUNICE TWP,2889,LAKE PARK AUDUBON,932,,,,,,,,,
3,Becker,125,LAKE EUNICE TWP,548,PELICAN RAPIDS,31,,,,,,,,,
3,Becker,130,LAKE PARK,2889,LAKE PARK AUDUBON,416,,,,,,,,,
3,Becker,135,LAKE PARK TWP,2889,LAKE PARK AUDUBON,355,,,,,,,,,
3,Becker,140,LAKE VIEW TWP,22,DETROIT LAKES,1241,,,,,,,,,
3,Becker,145,MAPLE GROVE TWP,22,DETROIT LAKES,17,,,,,,,,,
3,Becker,145,MAPLE GROVE TWP,435,WAUBUN-OGEMA-WHITE EARTH,252,,,,,,,,,
3,Becker,150,OGEMA,435,WAUBUN-OGEMA-WHITE EARTH,86,,,,,,,,,
3,Becker,155,OSAGE TWP,309,PARK RAPIDS,5,,,,,,,,,
3,Becker,155,OSAGE TWP,309,PARK RAPIDS,593,,,,,,,,,
3,Becker,160,PINE POINT TWP,309,PARK RAPIDS,5,,,,,,,,,
3,Becker,160,PINE POINT TWP,309,PARK RAPIDS,135,,,,,,,,,
3,Becker,165,RICEVILLE TWP,22,DETROIT LAKES,43,,,,,,,,,
3,Becker,165,RICEVILLE TWP,2889,LAKE PARK AUDUBON,7,,,,,,,,,
3,Becker,165,RICEVILLE TWP,435,WAUBUN-OGEMA-WHITE EARTH,13,,,,,,,,,
3,Becker,170,RICHWOOD TWP,22,DETROIT LAKES,424,,,,,,,,,
3,Becker,175,ROUND LAKE TWP,22,DETROIT LAKES,48,,,,,,,,,
3,Becker,175,ROUND LAKE TWP,23,FRAZEE-VERGAS,3,,,,,,,,,
3,Becker,175,ROUND LAKE TWP,309,PARK RAPIDS,2,,,,,,,,,
3,Becker,175,ROUND LAKE TWP,309,PARK RAPIDS,31,,,,,,,,,
3,Becker,175,ROUND LAKE TWP,435,WAUBUN-OGEMA-WHITE EARTH,51,,,,,,,,,
3,Becker,180,RUNEBERG TWP,820,SEBEKA,3,,,,,,,,,
3,Becker,180,RUNEBERG TWP,821,MENAHGA,326,,,,,,,,,
3,Becker,185,SAVANNAH TWP,309,PARK RAPIDS,18,,,,,,,,,
3,Becker,185,SAVANNAH TWP,309,PARK RAPIDS,98,,,,,,,,,
